N,k,Global_Accuracy,Class_0_Acc,Class_1_Acc,Class_2_Acc,Class_3_Acc,Class_4_Acc,Class_5_Acc,Class_6_Acc,Class_7_Acc,Class_8_Acc,Class_9_Acc
1000,1,0.8155166666666667,0.8035,0.9608333333333333,0.7313333333333333,0.806,0.6971666666666667,0.773,0.5665,0.9308333333333333,0.935,0.951
1000,2,0.8132166666666667,0.8976666666666666,0.9656666666666667,0.8291666666666667,0.7976666666666666,0.6395,0.8405,0.398,0.9473333333333334,0.9031666666666667,0.9135
1000,5,0.82145,0.8606666666666667,0.9526666666666667,0.7725,0.8308333333333333,0.7098333333333333,0.756,0.5168333333333334,0.934,0.9231666666666667,0.958
1000,10,0.82,0.8761666666666666,0.9471666666666667,0.7715,0.8355,0.712,0.7491666666666666,0.5071666666666667,0.9361666666666667,0.911,0.9541666666666667
1000,15,0.8151,0.8735,0.9426666666666667,0.7543333333333333,0.8348333333333333,0.7198333333333333,0.7296666666666667,0.5031666666666667,0.9243333333333333,0.909,0.9596666666666667
1000,20,0.8112833333333334,0.875,0.9396666666666667,0.7455,0.8356666666666667,0.7205,0.7221666666666666,0.493,0.9213333333333333,0.9016666666666666,0.9583333333333334
1500,1,0.8244,0.798,0.9632727272727273,0.7316363636363636,0.8265454545454546,0.7110909090909091,0.7996363636363636,0.5812727272727273,0.9394545454545454,0.9407272727272727,0.9523636363636364
1500,2,0.8225818181818182,0.8943636363636364,0.9678181818181818,0.8283636363636364,0.8210909090909091,0.6534545454545454,0.8603636363636363,0.4118181818181818,0.9583636363636364,0.9127272727272727,0.9174545454545454
1500,5,0.8299454545454545,0.8596363636363636,0.9534545454545454,0.7723636363636364,0.8405454545454546,0.732,0.7810909090909091,0.5349090909090909,0.9381818181818182,0.9294545454545454,0.9578181818181818
1500,10,0.8283272727272727,0.8734545454545455,0.9498181818181818,0.7741818181818182,0.8456363636363636,0.7267272727272728,0.773090909090909,0.5212727272727272,0.9438181818181818,0.9212727272727272,0.954
1500,15,0.8226727272727272,0.8705454545454545,0.9458181818181818,0.7592727272727273,0.8403636363636363,0.7367272727272727,0.738909090909091,0.5298181818181819,0.9283636363636364,0.9176363636363636,0.9592727272727273
1500,20,0.8185818181818182,0.872,0.9414545454545454,0.75,0.8396363636363636,0.732,0.7376363636363636,0.5161818181818182,0.9285454545454546,0.9121818181818182,0.9561818181818181
2000,1,0.83086,0.7954,0.9678,0.7506,0.826,0.7192,0.8062,0.5958,0.9456,0.9448,0.9572
2000,2,0.82862,0.8896,0.9718,0.8426,0.8226,0.66,0.8664,0.431,0.9614,0.9172,0.9236
2000,5,0.83796,0.8596,0.959,0.793,0.8472,0.7458,0.7834,0.5534,0.9448,0.9336,0.9598
2000,10,0.83444,0.8682,0.9528,0.7874,0.8472,0.7406,0.7848,0.5322,0.9482,0.928,0.955
2000,15,0.8293,0.864,0.9482,0.773,0.8476,0.7492,0.7548,0.5368,0.9374,0.923,0.959
2000,20,0.82534,0.8676,0.946,0.765,0.8444,0.7468,0.7482,0.5234,0.9372,0.9198,0.955
2500,1,0.8353111111111111,0.8024444444444444,0.968,0.7604444444444445,0.8311111111111111,0.7195555555555555,0.8288888888888889,0.5982222222222222,0.9442222222222222,0.9446666666666667,0.9555555555555556
2500,2,0.8334888888888888,0.8931111111111111,0.9717777777777777,0.8542222222222222,0.8277777777777777,0.6617777777777778,0.8815555555555555,0.44466666666666665,0.9597777777777777,0.9166666666666666,0.9235555555555556
2500,5,0.8423555555555555,0.856,0.9611111111111111,0.8017777777777778,0.8517777777777777,0.7551111111111111,0.8,0.5564444444444444,0.9468888888888889,0.9333333333333333,0.9611111111111111
2500,10,0.8398444444444444,0.8704444444444445,0.9553333333333334,0.7944444444444444,0.8551111111111112,0.7453333333333333,0.798,0.5451111111111111,0.9504444444444444,0.9288888888888889,0.9553333333333334
2500,15,0.8336222222222223,0.8648888888888889,0.95,0.7742222222222223,0.8506666666666667,0.7502222222222222,0.7731111111111111,0.5462222222222223,0.9404444444444444,0.9253333333333333,0.9611111111111111
2500,20,0.8312222222222222,0.866,0.9471111111111111,0.7704444444444445,0.8488888888888889,0.748,0.7695555555555555,0.54,0.9417777777777778,0.9242222222222222,0.9562222222222222
3000,1,0.839,0.803,0.9705,0.773,0.83425,0.71175,0.84,0.60575,0.94275,0.9475,0.9615
3000,2,0.8376,0.896,0.9735,0.85525,0.83275,0.66625,0.88875,0.4505,0.95925,0.92325,0.9305
3000,5,0.844475,0.8515,0.963,0.8045,0.853,0.75075,0.8075,0.5705,0.94625,0.93625,0.9615
3000,10,0.8423,0.866,0.95825,0.8045,0.8545,0.74475,0.80425,0.55425,0.94675,0.93125,0.9585
3000,15,0.836325,0.86,0.95375,0.78175,0.85425,0.74875,0.7805,0.55625,0.93825,0.9265,0.96325
3000,20,0.83355,0.86275,0.95075,0.77625,0.851,0.74525,0.7765,0.54925,0.939,0.92575,0.959
