N,k,Global_Accuracy,Metric,Class_0_Acc,Class_1_Acc,Class_2_Acc,Class_3_Acc,Class_4_Acc,Class_5_Acc,Class_6_Acc,Class_7_Acc,Class_8_Acc,Class_9_Acc
1000,1,0.8202333333333334,L1,0.7835,0.9633333333333334,0.7081666666666667,0.8285,0.6843333333333333,0.8755,0.538,0.9246666666666666,0.9415,0.9548333333333333
1000,2,0.8176166666666667,L1,0.8828333333333334,0.9686666666666667,0.8256666666666667,0.827,0.6086666666666667,0.91,0.36916666666666664,0.9488333333333333,0.9151666666666667,0.9201666666666667
1000,5,0.8302,L1,0.844,0.954,0.7548333333333334,0.8611666666666666,0.723,0.8598333333333333,0.486,0.9328333333333333,0.9295,0.9568333333333333
1000,10,0.82815,L1,0.8575,0.945,0.7498333333333334,0.8646666666666667,0.7236666666666667,0.8473333333333334,0.48433333333333334,0.933,0.9226666666666666,0.9535
1000,15,0.8235666666666667,L1,0.8501666666666666,0.941,0.7373333333333333,0.8631666666666666,0.7343333333333333,0.8291666666666667,0.48683333333333334,0.9211666666666667,0.9175,0.955
1000,20,0.821,L1,0.8536666666666667,0.9391666666666667,0.7341666666666666,0.8623333333333333,0.7338333333333333,0.8241666666666667,0.47733333333333333,0.9216666666666666,0.9128333333333334,0.9508333333333333
1500,1,0.8305272727272728,L1,0.7963636363636364,0.9632727272727273,0.7232727272727273,0.8325454545454546,0.6969090909090909,0.8858181818181818,0.5796363636363636,0.9363636363636364,0.9418181818181818,0.9492727272727273
1500,2,0.8247454545454546,L1,0.8945454545454545,0.9678181818181818,0.8232727272727273,0.8307272727272728,0.6229090909090909,0.9198181818181819,0.40763636363636363,0.9570909090909091,0.9138181818181819,0.9098181818181819
1500,5,0.8391272727272727,L1,0.8503636363636363,0.9565454545454546,0.7627272727272727,0.856,0.7301818181818182,0.87,0.5290909090909091,0.9470909090909091,0.9325454545454546,0.9567272727272728
1500,10,0.8383272727272727,L1,0.8716363636363637,0.9525454545454546,0.7558181818181818,0.8603636363636363,0.7303636363636363,0.86,0.525090909090909,0.9490909090909091,0.9263636363636364,0.952
1500,15,0.8330909090909091,L1,0.8632727272727273,0.948,0.7436363636363637,0.8625454545454545,0.7301818181818182,0.8427272727272728,0.525090909090909,0.9387272727272727,0.9201818181818182,0.9565454545454546
1500,20,0.8312545454545455,L1,0.866909090909091,0.9452727272727273,0.7358181818181818,0.8634545454545455,0.7381818181818182,0.8358181818181818,0.5189090909090909,0.9383636363636364,0.9167272727272727,0.9530909090909091
2000,1,0.83636,L1,0.8298,0.9656,0.7366,0.8316,0.6992,0.8874,0.571,0.9276,0.9514,0.9634
2000,2,0.83292,L1,0.9142,0.97,0.8398,0.8362,0.6228,0.9248,0.409,0.9496,0.9278,0.935
2000,5,0.84356,L1,0.8762,0.9578,0.7912,0.8536,0.7246,0.8704,0.5164,0.937,0.9416,0.9668
2000,10,0.8414,L1,0.8934,0.951,0.7884,0.8546,0.7276,0.8644,0.4994,0.9376,0.9354,0.9622
2000,15,0.83756,L1,0.8872,0.947,0.7762,0.8512,0.735,0.8466,0.5058,0.928,0.9334,0.9652
2000,20,0.8338,L1,0.8914,0.9458,0.766,0.848,0.737,0.8418,0.4904,0.926,0.9286,0.963
2500,1,0.8418222222222222,L1,0.8208888888888889,0.9693333333333334,0.762,0.8413333333333334,0.6931111111111111,0.8993333333333333,0.5844444444444444,0.9455555555555556,0.9497777777777778,0.9524444444444444
2500,2,0.8378666666666666,L1,0.9106666666666666,0.9717777777777777,0.8551111111111112,0.8464444444444444,0.6357777777777778,0.9275555555555556,0.4171111111111111,0.9637777777777777,0.9273333333333333,0.9231111111111111
2500,5,0.8489555555555556,L1,0.8677777777777778,0.9633333333333334,0.7982222222222223,0.8624444444444445,0.7422222222222222,0.8775555555555555,0.528,0.9468888888888889,0.9415555555555556,0.9615555555555556
