N,k,Global_Accuracy,Class_0_Acc,Class_1_Acc,Class_2_Acc,Class_3_Acc,Class_4_Acc,Class_5_Acc,Class_6_Acc,Class_7_Acc,Class_8_Acc,Class_9_Acc
1000,1,0.8099,0.779,0.9653333333333334,0.6953333333333334,0.8123333333333334,0.6576666666666666,0.7838333333333334,0.5903333333333334,0.9336666666666666,0.9356666666666666,0.9458333333333333
1000,2,0.8119,0.8835,0.9696666666666667,0.8041666666666667,0.8013333333333333,0.6158333333333333,0.852,0.4216666666666667,0.955,0.9026666666666666,0.9131666666666667
1000,5,0.8217333333333333,0.8435,0.9576666666666667,0.7363333333333333,0.8465,0.7111666666666666,0.763,0.54,0.9396666666666667,0.9266666666666666,0.9528333333333333
1000,10,0.8219333333333333,0.8601666666666666,0.9505,0.7286666666666667,0.849,0.722,0.7588333333333334,0.5371666666666667,0.9418333333333333,0.919,0.9521666666666667
1000,15,0.8155333333333333,0.852,0.9468333333333333,0.7095,0.846,0.7253333333333334,0.7316666666666667,0.537,0.9361666666666667,0.913,0.9578333333333333
1000,20,0.81345,0.8515,0.9441666666666667,0.7051666666666667,0.8495,0.7273333333333334,0.7271666666666666,0.5313333333333333,0.9363333333333334,0.9065,0.9555
1500,1,0.8222363636363637,0.8027272727272727,0.9667272727272728,0.7314545454545455,0.8223636363636364,0.682,0.798,0.5918181818181818,0.9329090909090909,0.9432727272727273,0.9510909090909091
1500,2,0.8231272727272727,0.8914545454545455,0.9705454545454546,0.828,0.8165454545454546,0.6429090909090909,0.858909090909091,0.43363636363636365,0.9572727272727273,0.9094545454545454,0.9225454545454546
1500,5,0.8309090909090909,0.8463636363636363,0.9581818181818181,0.769090909090909,0.8496363636363636,0.7312727272727273,0.7707272727272727,0.5485454545454546,0.9429090909090909,0.9352727272727273,0.9570909090909091
1500,10,0.828709090909091,0.8547272727272728,0.9507272727272728,0.7625454545454545,0.8532727272727273,0.7356363636363636,0.7601818181818182,0.5438181818181819,0.9450909090909091,0.9278181818181818,0.9532727272727273
1500,15,0.8240545454545455,0.852909090909091,0.9456363636363636,0.7438181818181818,0.852909090909091,0.7405454545454545,0.7347272727272727,0.5532727272727272,0.9363636363636364,0.9227272727272727,0.9576363636363636
1500,20,0.822,0.8536363636363636,0.9430909090909091,0.7407272727272727,0.8516363636363636,0.7381818181818182,0.732909090909091,0.5443636363636364,0.9398181818181818,0.9178181818181819,0.9578181818181818
2000,1,0.82868,0.8104,0.9662,0.7438,0.831,0.6962,0.808,0.591,0.9354,0.95,0.9548
2000,2,0.82876,0.903,0.9686,0.8382,0.8132,0.653,0.8678,0.4372,0.9618,0.9178,0.927
2000,5,0.83766,0.8604,0.9602,0.789,0.8524,0.7338,0.7858,0.5458,0.9472,0.9416,0.9604
2000,10,0.83528,0.8654,0.954,0.7814,0.855,0.7436,0.7688,0.54,0.9516,0.937,0.956
2000,15,0.83108,0.8602,0.9492,0.7646,0.8562,0.7466,0.7496,0.5494,0.9428,0.9316,0.9606
2000,20,0.82736,0.862,0.9474,0.7594,0.8538,0.742,0.744,0.5348,0.9442,0.9284,0.9576
2500,1,0.8330666666666666,0.8053333333333333,0.9695555555555555,0.7535555555555555,0.8391111111111111,0.702,0.8122222222222222,0.5993333333333334,0.9384444444444444,0.9528888888888889,0.9582222222222222
2500,2,0.8329777777777778,0.9055555555555556,0.9708888888888889,0.8411111111111111,0.8264444444444444,0.6571111111111111,0.8666666666666667,0.44222222222222224,0.962,0.9273333333333333,0.9304444444444444
2500,5,0.8406,0.8555555555555555,0.9648888888888889,0.7982222222222223,0.8546666666666667,0.7373333333333333,0.7908888888888889,0.5513333333333333,0.9471111111111111,0.9437777777777778,0.9622222222222222
2500,10,0.8394222222222222,0.8724444444444445,0.9584444444444444,0.7893333333333333,0.8575555555555555,0.7446666666666667,0.7788888888888889,0.5455555555555556,0.9486666666666667,0.9411111111111111,0.9575555555555556
2500,15,0.8353777777777778,0.8633333333333333,0.9542222222222222,0.7695555555555555,0.8611111111111112,0.7477777777777778,0.758,0.5584444444444444,0.9408888888888889,0.9371111111111111,0.9633333333333334
2500,20,0.8327777777777777,0.8668888888888889,0.9515555555555556,0.7671111111111111,0.8573333333333333,0.7457777777777778,0.7542222222222222,0.5491111111111111,0.9417777777777778,0.9333333333333333,0.9606666666666667
3000,1,0.8378,0.813,0.972,0.7605,0.83975,0.712,0.825,0.60375,0.939,0.955,0.958
3000,2,0.83755,0.91375,0.97275,0.8415,0.82675,0.66975,0.87525,0.44725,0.963,0.93025,0.93525
3000,5,0.844475,0.871,0.966,0.7985,0.85675,0.74325,0.79725,0.554,0.9475,0.94675,0.96375
3000,10,0.8427,0.8815,0.961,0.79175,0.8605,0.744,0.7885,0.54525,0.95275,0.943,0.95875
3000,15,0.8385,0.87775,0.955,0.7745,0.85925,0.7505,0.7695,0.55725,0.9405,0.93825,0.9625
3000,20,0.8345,0.87575,0.9525,0.76975,0.86,0.7455,0.7615,0.54325,0.94175,0.93425,0.96075
3500,1,0.8416857142857143,0.8134285714285714,0.9734285714285714,0.7691428571428571,0.8442857142857143,0.7191428571428572,0.8354285714285714,0.6057142857142858,0.9405714285714286,0.9551428571428572,0.9605714285714285
3500,2,0.8404571428571429,0.9125714285714286,0.9742857142857143,0.8428571428571429,0.8317142857142857,0.6737142857142857,0.8857142857142857,0.44942857142857146,0.9617142857142857,0.9345714285714286,0.938
3500,5,0.8476857142857143,0.8685714285714285,0.9668571428571429,0.7985714285714286,0.8642857142857143,0.7471428571428571,0.8062857142857143,0.5568571428571428,0.9517142857142857,0.9491428571428572,0.9674285714285714
3500,10,0.8469714285714286,0.8808571428571429,0.9628571428571429,0.7974285714285714,0.8648571428571429,0.7528571428571429,0.8045714285714286,0.5465714285714286,0.9531428571428572,0.9457142857142857,0.9608571428571429
3500,15,0.8418571428571429,0.874,0.9582857142857143,0.7797142857142857,0.862,0.7585714285714286,0.7817142857142857,0.5568571428571428,0.9428571428571428,0.9402857142857143,0.9642857142857143
3500,20,0.8380857142857143,0.8737142857142857,0.9537142857142857,0.7708571428571429,0.8594285714285714,0.7557142857142857,0.7748571428571429,0.5477142857142857,0.9425714285714286,0.9388571428571428,0.9634285714285714
4000,1,0.8450666666666666,0.8123333333333334,0.9706666666666667,0.7753333333333333,0.8523333333333334,0.7263333333333334,0.848,0.6063333333333333,0.941,0.955,0.9633333333333334
4000,2,0.8422666666666667,0.9126666666666666,0.9713333333333334,0.855,0.8466666666666667,0.6643333333333333,0.895,0.44533333333333336,0.959,0.932,0.9413333333333334
4000,5,0.8517,0.8676666666666667,0.9633333333333334,0.8066666666666666,0.866,0.7546666666666667,0.8193333333333334,0.5686666666666667,0.9546666666666667,0.9496666666666667,0.9663333333333334
4000,10,0.8501333333333333,0.878,0.9596666666666667,0.806,0.873,0.7603333333333333,0.8103333333333333,0.5526666666666666,0.956,0.9446666666666667,0.9606666666666667
4000,15,0.8431666666666666,0.873,0.954,0.7863333333333333,0.8643333333333333,0.76,0.7883333333333333,0.553,0.9473333333333334,0.9416666666666667,0.9636666666666667
4000,20,0.8417,0.8783333333333333,0.9513333333333334,0.7773333333333333,0.8656666666666667,0.7603333333333333,0.787,0.55,0.9453333333333334,0.9393333333333334,0.9623333333333334
4500,1,0.84748,0.8276,0.9736,0.7768,0.8536,0.7216,0.8512,0.6104,0.9408,0.9524,0.9668
4500,2,0.842,0.9152,0.9752,0.858,0.8432,0.6532,0.8928,0.448,0.96,0.9308,0.9436
4500,5,0.85384,0.8792,0.9664,0.812,0.868,0.7508,0.822,0.5648,0.9564,0.95,0.9688
4500,10,0.85188,0.8856,0.964,0.818,0.8684,0.7548,0.8132,0.55,0.9584,0.9424,0.964
4500,15,0.84644,0.8764,0.9564,0.7984,0.8664,0.7552,0.7872,0.5652,0.952,0.9408,0.9664
4500,20,0.84472,0.8848,0.9548,0.7912,0.8672,0.7564,0.79,0.5516,0.9472,0.9388,0.9652
5000,1,0.8504,0.83,0.9745,0.7875,0.853,0.723,0.8585,0.6155,0.942,0.954,0.966
5000,2,0.84285,0.9155,0.976,0.8605,0.8465,0.6515,0.896,0.444,0.963,0.93,0.9455
5000,5,0.85575,0.8825,0.969,0.8155,0.872,0.753,0.825,0.567,0.9525,0.951,0.97
5000,10,0.8532,0.8845,0.9675,0.8165,0.869,0.75,0.8225,0.551,0.959,0.945,0.967
5000,15,0.8488,0.8805,0.959,0.798,0.8685,0.757,0.802,0.557,0.9515,0.9445,0.97
5000,20,0.8467,0.8865,0.959,0.7875,0.869,0.7585,0.799,0.546,0.951,0.9435,0.967
5500,1,0.8530666666666666,0.8286666666666667,0.9753333333333334,0.7886666666666666,0.8453333333333334,0.7353333333333333,0.8546666666666667,0.6266666666666667,0.9493333333333334,0.958,0.9686666666666667
5500,2,0.8465333333333334,0.916,0.9773333333333334,0.8666666666666667,0.8373333333333334,0.6706666666666666,0.8906666666666667,0.456,0.9673333333333334,0.9373333333333334,0.946
5500,5,0.8586666666666667,0.88,0.9706666666666667,0.826,0.8633333333333333,0.766,0.826,0.5773333333333334,0.9513333333333334,0.9586666666666667,0.9673333333333334
5500,10,0.856,0.8846666666666667,0.968,0.82,0.8646666666666667,0.7726666666666666,0.8213333333333334,0.5546666666666666,0.9573333333333334,0.9526666666666667,0.964
5500,15,0.8521333333333333,0.884,0.964,0.81,0.8613333333333333,0.7733333333333333,0.7986666666666666,0.5633333333333334,0.948,0.952,0.9666666666666667
5500,20,0.8486,0.892,0.9606666666666667,0.7933333333333333,0.854,0.766,0.8006666666666666,0.5566666666666666,0.95,0.9493333333333334,0.9633333333333334
6000,1,0.8561,0.825,0.974,0.802,0.857,0.735,0.858,0.627,0.956,0.962,0.965
6000,2,0.8496,0.917,0.976,0.875,0.842,0.667,0.898,0.472,0.971,0.94,0.938
6000,5,0.8625,0.885,0.968,0.846,0.871,0.765,0.828,0.582,0.953,0.961,0.966
6000,10,0.8615,0.903,0.967,0.828,0.878,0.774,0.822,0.568,0.959,0.957,0.959
6000,15,0.8566,0.888,0.962,0.814,0.874,0.784,0.805,0.577,0.945,0.955,0.962
6000,20,0.8529,0.89,0.958,0.808,0.871,0.778,0.803,0.564,0.947,0.953,0.957
