Metric,N,k,Global_Accuracy,Class_0_Acc,Class_1_Acc,Class_2_Acc,Class_3_Acc,Class_4_Acc,Class_5_Acc,Class_6_Acc,Class_7_Acc,Class_8_Acc,Class_9_Acc
manhattan,2000,5,0.8452,0.862,0.962,0.764,0.859,0.739,0.896,0.512,0.946,0.947,0.965
manhattan,2000,10,0.8401,0.874,0.957,0.76,0.863,0.747,0.88,0.481,0.951,0.935,0.953
manhattan,4000,5,0.8568,0.874,0.973,0.804,0.87,0.749,0.893,0.554,0.952,0.939,0.96
manhattan,4000,10,0.8565,0.891,0.972,0.786,0.872,0.768,0.892,0.532,0.956,0.937,0.959
manhattan,6000,5,0.8684,0.893,0.968,0.838,0.879,0.778,0.894,0.559,0.958,0.956,0.961
manhattan,6000,10,0.8654,0.891,0.965,0.829,0.88,0.776,0.884,0.562,0.957,0.954,0.956
euclidean,2000,5,0.8375,0.857,0.958,0.764,0.86,0.74,0.817,0.532,0.947,0.939,0.961
euclidean,2000,10,0.8348,0.863,0.955,0.758,0.862,0.748,0.789,0.525,0.958,0.935,0.955
euclidean,4000,5,0.85,0.867,0.972,0.797,0.868,0.743,0.832,0.557,0.956,0.942,0.966
euclidean,4000,10,0.8511,0.883,0.967,0.801,0.875,0.754,0.829,0.554,0.957,0.935,0.956
euclidean,6000,5,0.8625,0.885,0.968,0.846,0.871,0.765,0.828,0.582,0.953,0.961,0.966
euclidean,6000,10,0.8615,0.903,0.967,0.828,0.878,0.774,0.822,0.568,0.959,0.957,0.959
